"filename", "language", "CSS", "JavaScript", "JSON", "XML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\featuresIncludes\FeaturesIncludes.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\featuresIncludes\FeaturesIncludes.module.css", "CSS", 71, 0, 0, 0, 0, 0, 2, 3, 76
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\footer\Footer.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 3, 86
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\footer\Footer.module.css", "CSS", 167, 0, 0, 0, 0, 0, 1, 5, 173
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\header\Header.js", "JavaScript", 0, 60, 0, 0, 0, 0, 0, 4, 64
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\header\Header.module.css", "CSS", 105, 0, 0, 0, 0, 0, 1, 11, 117
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\headphones\Headphones.module.css", "CSS", 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\Home.module.css", "CSS", 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\hero\Hero.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\hero\Hero.module.css", "CSS", 138, 0, 0, 0, 0, 0, 4, 10, 152
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\landing1\Landing1.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\landing1\Landing1.module.css", "CSS", 196, 0, 0, 0, 0, 0, 3, 1, 200
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\landingEarphone\LandingEarphone.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\landingEarphone\LandingEarphone.module.css", "CSS", 82, 0, 0, 0, 0, 0, 1, 1, 84
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\landingSpeaker\LandingSpeaker.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 3, 38
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\landingSpeaker\LandingSpeaker.module.css", "CSS", 65, 0, 0, 0, 0, 0, 3, 4, 72
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\menu2\Menu2.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 3, 66
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\home\menu2\Menu2.module.css", "CSS", 168, 0, 0, 0, 0, 0, 1, 3, 172
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\menu\Menu.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\menu\Menu.module.css", "CSS", 79, 0, 0, 0, 0, 0, 0, 2, 81
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\pageHeader\PageHeader.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\pageHeader\PageHeader.module.css", "CSS", 27, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\productGeneralDetail\ProductGeneralDetail.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 8, 86
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\productGeneralDetail\ProductGeneralDetail.module.css", "CSS", 191, 0, 0, 0, 0, 0, 3, 11, 205
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\productGeneral\ProductGeneral.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\productGeneral\ProductGeneral.module.css", "CSS", 158, 0, 0, 0, 0, 0, 3, 7, 168
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\singleProductGallery\SingleProductGallery.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\singleProductGallery\SingleProductGallery.module.css", "CSS", 57, 0, 0, 0, 0, 0, 2, 2, 61
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\singleProduct\SingleProduct.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\singleProduct\SingleProduct.module.css", "CSS", 50, 0, 0, 0, 0, 0, 2, 3, 55
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\components\speakers\Speakers.module.css", "CSS", 10, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\context.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\data.json", "JSON", 0, 0, 522, 0, 0, 0, 0, 0, 522
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\helpers\ScrollToTop.js", "JavaScript", 0, 13, 0, 0, 0, 0, 1, 3, 17
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\index.css", "CSS", 322, 0, 0, 0, 0, 0, 10, 23, 355
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\index.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 4, 25
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\pages\Earphones.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\pages\Headphones.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\pages\Home.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 2, 23
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\pages\Speakers.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Asus\Documents\React_courses\audiophile-ecommerce\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 2342, 1022, 12612, 20, 144, 23, 77, 294, 16534
